gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4722549450	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1830961998	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris fuscicollis		SPECIES	Calidris fuscicollis (Vieillot, 1819)	Calidris fuscicollis		US	Hadley Point, Bar Harbor	Maine	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.444138	-68.31899							2023-09-19	19	9	2023	2481756	2481756	HUMAN_OBSERVATION	CLO	EBIRD	OBS1830961998				CC_BY_4_0		obsr1736295			2024-04-17T08:41:58.049Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4722465235	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1819893941	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	Tringa melanoleuca		SPECIES	Tringa melanoleuca (J.F.Gmelin, 1789)	Tringa melanoleuca		US	Cousins Creek	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.2489	-68.35709							2023-09-05	5	9	2023	2481720	2481720	HUMAN_OBSERVATION	CLO	EBIRD	OBS1819893941				CC_BY_4_0		obsr224998			2024-04-17T09:23:14.506Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4721952535	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ME:OBS1722509998	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	Tringa melanoleuca		SPECIES	Tringa melanoleuca (J.F.Gmelin, 1789)	Tringa melanoleuca		US	Bartlett's Landing Road, Pretty Marsh	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.341755	-68.40097							2023-05-13	13	5	2023	2481720	2481720	HUMAN_OBSERVATION	CLO	EBIRD_ME	OBS1722509998				CC_BY_4_0		obsr224998			2024-04-17T08:39:38.614Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4721724907	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1838008859	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris pusilla		SPECIES	Calidris pusilla (Linnaeus, 1766)	Calidris pusilla		US	Hadley Point, Bar Harbor	Maine	PRESENT	11	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.444138	-68.31899							2023-09-29	29	9	2023	2481764	2481764	HUMAN_OBSERVATION	CLO	EBIRD	OBS1838008859				CC_BY_4_0		obsr1736295			2024-04-17T09:25:09.014Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4721385751	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ME:OBS1667727781	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris maritima		SPECIES	Calidris maritima (Brünnich, 1764)	Calidris maritima		US	Acadia NP--Seawall Picnic Area	Maine	PRESENT	18	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.2373	-68.3025							2023-03-28	28	3	2023	2481743	2481743	HUMAN_OBSERVATION	CLO	EBIRD_ME	OBS1667727781				CC_BY_4_0		obsr224998			2024-04-17T08:39:45.925Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4721355821	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1672949150	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Scolopax	Scolopax minor		SPECIES	Scolopax minor J.F.Gmelin, 1789	Scolopax minor		US	Ledgelawn Cemetery	Maine	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.378838	-68.20852							2023-04-02	2	4	2023	2481695	2481695	HUMAN_OBSERVATION	CLO	EBIRD	OBS1672949150				CC_BY_4_0		obsr2401325			2024-04-17T08:59:47.318Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4720904477	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1671734898	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Scolopax	Scolopax minor		SPECIES	Scolopax minor J.F.Gmelin, 1789	Scolopax minor		US	Unnamed Road, Bar Harbor, Maine, US (44.392, -68.24)	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.392025	-68.2398							2023-04-01	1	4	2023	2481695	2481695	HUMAN_OBSERVATION	CLO	EBIRD	OBS1671734898				CC_BY_4_0		obsr2401325			2024-04-17T09:24:31Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4720825304	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1836732853	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris alpina		SPECIES	Calidris alpina (Linnaeus, 1758)	Calidris alpina		US	Hadley Point, Bar Harbor	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.444138	-68.31899							2023-09-27	27	9	2023	2481759	2481759	HUMAN_OBSERVATION	CLO	EBIRD	OBS1836732853				CC_BY_4_0		obsr3337334			2024-04-17T09:02:48.895Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4720708031	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1841690119	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris pusilla		SPECIES	Calidris pusilla (Linnaeus, 1766)	Calidris pusilla		US	Hadley Point, Bar Harbor	Maine	PRESENT	8	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.444138	-68.31899							2023-10-03	3	10	2023	2481764	2481764	HUMAN_OBSERVATION	CLO	EBIRD	OBS1841690119				CC_BY_4_0		obsr3464954			2024-04-17T09:00:15.602Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4720640089	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1830961997	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris alba		SPECIES	Calidris alba (Pallas, 1764)	Calidris alba		US	Hadley Point, Bar Harbor	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.444138	-68.31899							2023-09-19	19	9	2023	2481748	2481748	HUMAN_OBSERVATION	CLO	EBIRD	OBS1830961997				CC_BY_4_0		obsr1736295			2024-04-17T08:41:38.655Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
